timestamp_utc,date,price,in_stock
2026-07-13T22:46:54+00:00,2026-07-13,599.95,1
2026-07-13T22:56:19+00:00,2026-07-13,599.95,1
2026-07-14T10:57:44+00:00,2026-07-14,599.95,1
2026-07-14T18:48:23+00:00,2026-07-14,599.95,1
2026-07-15T11:03:32+00:00,2026-07-15,599.95,1
2026-07-15T18:46:56+00:00,2026-07-15,599.95,1
2026-07-16T11:14:04+00:00,2026-07-16,599.95,1
2026-07-16T18:48:16+00:00,2026-07-16,599.95,1
2026-07-17T10:59:30+00:00,2026-07-17,599.95,1
2026-07-17T18:41:31+00:00,2026-07-17,599.95,1
2026-07-18T10:43:16+00:00,2026-07-18,599.95,1
2026-07-18T18:37:53+00:00,2026-07-18,599.95,1
2026-07-19T10:46:33+00:00,2026-07-19,599.95,1
2026-07-19T18:39:34+00:00,2026-07-19,599.95,1
2026-07-20T12:00:05+00:00,2026-07-20,599.95,1
2026-07-20T19:17:20+00:00,2026-07-20,599.95,1
2026-07-21T11:20:21+00:00,2026-07-21,599.95,1
2026-07-21T18:56:27+00:00,2026-07-21,599.95,1
2026-07-22T11:21:57+00:00,2026-07-22,549.99,1
2026-07-22T18:48:13+00:00,2026-07-22,549.99,1
2026-07-23T11:22:01+00:00,2026-07-23,549.99,1
2026-07-23T18:49:55+00:00,2026-07-23,549.99,1
2026-07-24T11:14:39+00:00,2026-07-24,615.99,0
2026-07-24T19:04:55+00:00,2026-07-24,615.99,1
2026-07-25T10:46:56+00:00,2026-07-25,615.99,1
2026-07-25T18:40:56+00:00,2026-07-25,615.99,1
2026-07-26T10:55:27+00:00,2026-07-26,615.99,1
2026-07-26T18:43:56+00:00,2026-07-26,615.99,1
2026-07-27T12:38:38+00:00,2026-07-27,615.99,1
2026-07-27T19:02:16+00:00,2026-07-27,634.99,1
2026-07-28T11:30:29+00:00,2026-07-28,634.99,1
2026-07-28T18:57:59+00:00,2026-07-28,634.99,1
2026-07-29T11:35:49+00:00,2026-07-29,634.99,1
2026-07-29T18:42:00+00:00,2026-07-29,634.99,1
2026-07-30T11:22:59+00:00,2026-07-30,634.99,1
2026-07-30T19:01:48+00:00,2026-07-30,634.99,1
2026-07-31T18:58:44+00:00,2026-07-31,634.99,1
2026-08-01T10:51:16+00:00,2026-08-01,634.99,1
2026-08-01T18:41:56+00:00,2026-08-01,634.99,1
2026-08-02T10:52:12+00:00,2026-08-02,634.99,1
2026-08-02T18:42:37+00:00,2026-08-02,634.99,1
2026-08-03T12:38:01+00:00,2026-08-03,634.99,1
2026-08-03T19:10:59+00:00,2026-08-03,634.99,1
2026-08-04T11:35:29+00:00,2026-08-04,634.99,1
2026-08-04T19:11:51+00:00,2026-08-04,634.99,1
2026-08-05T11:32:23+00:00,2026-08-05,634.99,1
2026-08-05T19:06:11+00:00,2026-08-05,634.99,1
2026-08-06T11:35:21+00:00,2026-08-06,634.99,1
2026-08-07T10:13:46+00:00,2026-08-07,634.99,1
2026-08-07T18:31:20+00:00,2026-08-07,580.99,1
2026-08-08T09:56:40+00:00,2026-08-08,580.99,1
2026-08-08T18:04:04+00:00,2026-08-08,580.99,1
2026-08-09T09:59:24+00:00,2026-08-09,580.99,1
2026-08-09T18:06:09+00:00,2026-08-09,580.99,1
2026-08-10T10:38:34+00:00,2026-08-10,580.99,1
2026-08-10T18:35:23+00:00,2026-08-10,580.99,1
2026-08-11T10:13:52+00:00,2026-08-11,580.99,1
2026-08-11T18:37:11+00:00,2026-08-11,580.99,1
2026-08-12T10:28:55+00:00,2026-08-12,580.99,1
2026-08-12T18:37:43+00:00,2026-08-12,789.99,1
2026-08-13T10:30:42+00:00,2026-08-13,789.99,1
2026-08-13T18:38:10+00:00,2026-08-13,789.99,1
2026-08-14T10:26:31+00:00,2026-08-14,789.99,1
2026-08-14T18:34:01+00:00,2026-08-14,585.99,1
2026-08-15T09:44:00+00:00,2026-08-15,585.99,1
2026-08-15T17:58:13+00:00,2026-08-15,585.99,0
2026-08-16T09:45:24+00:00,2026-08-16,585.99,1
2026-08-16T17:56:26+00:00,2026-08-16,585.99,1
2026-08-17T10:00:19+00:00,2026-08-17,845.99,1
2026-08-17T18:04:22+00:00,2026-08-17,845.99,1
2026-08-18T09:51:42+00:00,2026-08-18,845.99,1
2026-08-18T18:02:50+00:00,2026-08-18,845.99,1
2026-08-19T09:52:00+00:00,2026-08-19,845.99,1
2026-08-19T17:59:50+00:00,2026-08-19,838.60,1
2026-08-20T09:52:27+00:00,2026-08-20,838.60,1
2026-08-20T18:03:03+00:00,2026-08-20,838.60,1
2026-08-21T09:54:13+00:00,2026-08-21,838.60,1
2026-08-21T18:03:25+00:00,2026-08-21,838.60,1
2026-08-22T09:45:54+00:00,2026-08-22,838.60,1
