timestamp_utc,date,price,in_stock
2026-07-13T22:47:04+00:00,2026-07-13,599.99,1
2026-07-13T22:56:28+00:00,2026-07-13,599.99,1
2026-07-14T10:57:53+00:00,2026-07-14,599.99,1
2026-07-14T18:48:32+00:00,2026-07-14,599.99,1
2026-07-15T11:03:41+00:00,2026-07-15,599.99,1
2026-07-15T18:47:05+00:00,2026-07-15,599.99,1
2026-07-16T11:14:13+00:00,2026-07-16,599.99,1
2026-07-16T18:48:24+00:00,2026-07-16,599.99,1
2026-07-17T10:59:38+00:00,2026-07-17,599.99,1
2026-07-17T18:41:40+00:00,2026-07-17,599.99,1
2026-07-18T10:43:26+00:00,2026-07-18,599.99,1
2026-07-18T18:38:02+00:00,2026-07-18,599.99,1
2026-07-19T10:46:49+00:00,2026-07-19,599.99,1
2026-07-19T18:39:43+00:00,2026-07-19,599.99,1
2026-07-20T12:00:16+00:00,2026-07-20,599.99,1
2026-07-20T19:17:29+00:00,2026-07-20,599.99,1
2026-07-21T11:20:29+00:00,2026-07-21,599.99,1
2026-07-21T18:56:36+00:00,2026-07-21,599.99,1
